"School.Name","County","LocaleType","Student.Teacher.Ratio","Free.Lunch"
"Lakeside High School","Stevens","Town",19,89
"Lakeside Middle School","Stevens","Town",17.4,78
"Lakeview Elementary","King","Suburb",19.4,65
"Lakeview Hope Academy","Pierce","City",15.8,599
"Lakeview Terrace Elementary","Grant","Town",18.3,209
"Lakewood Elementary School","Snohomish","Suburb",20.6,152
"Lakewood High School","Snohomish","Suburb",25.7,154
"Lakewood Middle School","Snohomish","Suburb",21.8,156
"Lakewood NWESD 189 Open Door Program","Snohomish","Suburb",NA,0
"Lakota Middle School","King","Suburb",18.5,367
"Lamont Middle School","Whitman","Rural",8.5,18
"Larchmont","Pierce","City",14.5,294
"Larson Heights Elementary","Grant","Town",18.9,282
"Laurelhurst Elementary School","King","City",16.8,43
"Laurin Middle School","Clark","Rural",17,181
"Lawton Elementary School","King","City",18,30
"Lea Hill Elementary School","King","City",15.2,231
"Leaders In Learning","Snohomish","Suburb",18.7,35
"Learning Support","Pierce","Suburb",NA,71
"Legacy High School","Clark","City",29.6,114
"Legacy High School","Benton","City",26.8,137
"Leland P Brown Elementary","Thurston","Suburb",16.4,158
"Leona Libby Middle School",NA,NA,NA,NA
"Leonard M Jennings Elementary","Whitman","Town",16.7,70
"Leota Middle School","King","Suburb",21.5,81
"Leschi Elementary School","King","City",15.7,148
"Lewis & Clark Elementary School","Benton","City",19.2,227
"Lewis & Clark High School","Spokane","City",19.8,628
"Lewis & Clark Middle School","Yakima","City",19.3,775
"Lewis And Clark Elementary Sch","Chelan","City",16.7,366
"Lewis and Clark High School","Clark","City",10.8,43
"Lewis County Alternative School","Lewis","Town",27,19
"Lewis County Jail","Lewis","Town",NA,0
"Lewis County Juvenile Detention","Lewis","Town",9,3
"Lewis River Academy","Cowlitz","Town",44.3,17
"Libby Center","Spokane","City",15.9,41
"Liberty Bell Jr Sr High","Okanogan","Rural",14.8,77
"Liberty Creek Elementary School",NA,NA,NA,NA
"Liberty Elementary","Snohomish","Suburb",19.6,367
"Liberty High School","Spokane","Rural",14.5,38
"Liberty Jr High & Elementary","Spokane","Rural",17.4,91
"Liberty Lake Elementary","Spokane","Suburb",20.1,95
"Liberty Middle School","Clark","Suburb",20.2,140
"Liberty Middle School","Pierce","Suburb",21.4,211
"Liberty Ridge Elementary","Pierce","Suburb",16.5,210
"Liberty Sr High School","King","Suburb",23.1,106
"Licton Springs K-8","King","City",12.1,57
"Lidgerwood Elementary","Spokane","City",14.8,309
"Lincoln","Pierce","City",20.6,979
"Lincoln Academy","Snohomish","Town",23.3,8
"Lincoln Elementary","Grays Harbor","Town",14.3,173
"Lincoln Elementary","Kittitas","Town",19,186
"Lincoln Elementary School","Benton","City",19.7,265
"Lincoln Elementary School","Yakima","Town",20,387
"Lincoln Elementary School","Clark","City",17.3,204
"Lincoln Elementary School","Thurston","City",20,68
"Lincoln Elementary School","Skagit","City",17.7,241
"Lincoln Heights Elementary","Spokane","City",16.5,272
"Lincoln High School","Walla Walla","City",15,127
"Lincoln High School","Clallam","Town",21,63
"Lincoln Hill High School","Snohomish","Town",22.1,53
"Lincoln Middle School","Whitman","Town",21.9,150
"Lincoln Middle School","Asotin","Suburb",19.6,189
"Lind Elementary School","Adams","Rural",14,53
"Lind Ritzville Middle School","Adams","Rural",NA,29
"Lind-Ritzville High School","Adams","Rural",6.5,29
"Lind-Ritzville Middle School","Adams","Rural",9.7,25
"Lindbergh Senior High School","King","City",23.8,511
"Linwood Elementary","Spokane","Suburb",16.4,315
"Lister","Pierce","City",16.7,428
"Little Cedars Elementary School","Snohomish","Suburb",21.2,51
"Little Mountain Elementary","Skagit","City",17.6,318
"Littlerock Elementary School","Thurston","Rural",18.9,127
"Lochburn Middle School","Pierce","City",16.9,432
"Lockwood Elementary","Snohomish","Suburb",20.1,36
"Logan Elementary","Spokane","City",12.1,363
"Long Beach Elementary School","Pacific","Rural",16.1,135
"Longfellow Elementary","Franklin","Suburb",16.5,380
"Longfellow Elementary","Spokane","City",13.7,361
"Longview Elementary","Grant","Town",18.5,270
"Longview School District Special Services","Cowlitz","City",NA,40
"Loon Lake Elementary School","Stevens","Rural",14.7,86
"Loon Lake Homelink Program","Stevens","Rural",60.6,30
"Loowit High School","Cowlitz","Suburb",NA,23
"Lopez Elementary School","San Juan","Rural",14.7,41
"Lopez Middle High School","San Juan","Rural",9.9,18
"Louisa Boren STEM K-8","King","City",17.2,88
"Lowell","Pierce","City",19.3,71
"Lowell Elementary - Everett","Snohomish","City",18.8,297
"Lowell Elementary School","Whatcom","City",17.3,69
"Lowell Elementary School","King","City",13.5,130
"Loyal Heights Elementary School","King","City",19.4,19
"Lucille Umbarger Elementary","Skagit","Suburb",17.1,406
"Lutacaga Elementary","Adams","Town",19.1,387
"Lydia Hawk Elementary","Thurston","Suburb",13,245
"Lyle High School","Klickitat","Rural",20,43
"Lyle Middle School","Klickitat","Rural",13.7,24
"Lyman Elementary School","Skagit","Rural",20,91
"Lynden Academy","Whatcom","Town",37.8,5
"Lynden High School","Whatcom","Rural",22.2,241
"Lynden Middle School","Whatcom","Town",19.2,175
"Lynden Special Services","Whatcom","Town",NA,0
"Lynndale Elementary","Snohomish","Suburb",16.3,158
"Lynnwood Elementary","Snohomish","Suburb",18.6,271
"Lynnwood High School","Snohomish","Suburb",23.3,487
"Lyon","Pierce","City",15.9,260
"Mabton Jr. Sr. High","Yakima","Rural",17.6,339
"Mabton Step Up To College",NA,NA,NA,NA
"Machias Elementary","Snohomish","Rural",20.8,112
"Madison Elementary","Spokane","City",13.9,229
"Madison Elementary","Skagit","City",18,300
"Madison Elementary","Snohomish","City",17.5,293
"Madison Elementary School","Thurston","City",16.5,87
"Madison Headstart","Pierce","City",NA,NA
"Madison Middle School","King","City",20.9,161
"Madrona Elementary","King","Suburb",20.4,559
"Madrona Heights PreSchool Program","Kitsap","Suburb",13.3,34
"Madrona K-5 School","King","City",13.6,116
"Madrona Nongraded","Snohomish","Suburb",19.5,67
"Maltby Elementary","Snohomish","Suburb",18.8,81
"Manchester Elementary School","Kitsap","Suburb",17.7,136
"Manitou Park","Pierce","City",17.1,482
"Mann","Pierce","City",15.9,308
"Mann Elementary","King","City",19.1,22
"Mann Middle School","Pierce","City",18.5,161
"Mansfield Elem and High School","Douglas","Rural",7.8,55
"Manson Elementary","Chelan","Town",14.4,208
"Manson High School","Chelan","Town",14.6,124
"Manson Middle School","Chelan","Town",19.8,91
"Maple Elementary School","King","City",15.8,176
"Maple Grove K-8","Clark","Suburb",13.1,218
"Maple Hills Elementary","King","Suburb",18.6,35
"Maple Lawn Elementary","Pierce","Suburb",20.1,195
"Maple View Middle School","King","Suburb",23,88
"Maplewood Elementary","Pierce","Suburb",21.4,94
"Maplewood Heights Elementary School","King","City",19.9,204
"Maplewood Parent Coop","Snohomish","Suburb",21.7,18
"Marcus Whitman Elementary","Benton","City",16.2,191
"Marcus Whitman Middle School","Kitsap","Suburb",19.4,258
"Marcus Whitman-Cowiche Elementary","Yakima","Rural",16.5,242
"Marie Curie STEM Elementary","Franklin","Suburb",21.3,660
"Mariner High School","Snohomish","Suburb",21.4,1138
"Mark Morris High School","Cowlitz","City",23.8,345
"Mark Twain Elementary","Franklin","Suburb",18.7,389
"Mark Twain Elementary School","King","Suburb",19.1,395
"Marrion Elementary School","Clark","City",16.6,334
"Marshall Elementary","Snohomish","Suburb",14.7,193
"Martha Lake Elementary","Snohomish","Suburb",20.4,179
"Martin Hall Detention Ctr","Spokane","Town",NA,26
"Martin Luther King Elementary","Clark","City",16.9,389
"Martin Luther King Jr Elementary","Yakima","Suburb",17.1,562
"Martin Luther King Jr. Elementary School","King","City",15.7,184
"Martin Sortun Elementary School","King","City",22,294
"Marvista Elementary","King","Suburb",18.7,219
"Mary M. Knight School",NA,NA,NA,NA
"Mary Purcell Elementary School","Skagit","Suburb",14.8,251
"Mary Walker Alternative High Schl","Stevens","Rural",NA,0
"Mary Walker High School","Stevens","Rural",14,79
"Mary Walker Promise",NA,NA,NA,NA
"Marysville Arts and Technology High School","Snohomish","Suburb",20.1,120
"Marysville Coop Program","Snohomish","Suburb",23.3,52
"Marysville Getchell High School",NA,NA,NA,NA
"Marysville Middle School","Snohomish","Suburb",21.5,344
"Marysville Mountain View High School","Snohomish","Suburb",12.8,77
"Marysville NWESD 189 Youth Engagement","Snohomish","Suburb",NA,0
"Marysville Pilchuck High School","Snohomish","Suburb",22.5,458
"Marysville SD Special","Snohomish","Suburb",NA,46
"Mason","Pierce","City",21.1,229
"Mason County Detention Center","Mason","Town",4,NA
"Mattawa Elementary","Grant","Town",18.7,286
"Mattawa Elementary Pre-School","Grant","Town",NA,NA
"Mattson Middle School","King","Suburb",21.1,214
"Maya Angelou Elementary","Franklin","Suburb",19.2,323
"Maywood Hills Elementary","King","Suburb",18.6,103
"Maywood Middle School","King","Suburb",22.3,119
"Mcauliffe Elementary","King","Suburb",18.3,11
"McCarver","Pierce","City",14.5,331
"Mccleary Elem","Grays Harbor","Rural",15.7,149
"Mcclure Elementary School","Yakima","Town",19.8,534
"Mcclure Elementary School Yakima","Yakima","City",19.8,528
"McClure Middle School","King","City",18.3,76
"McDermoth Elementary","Grays Harbor","Town",16.4,198
"McDonald Elementary School","Spokane","City",14.7,164
"McDonald International School","King","City",18.4,17
"McFarland Middle School","Adams","Town",22.2,598
"McGilvra Elementary School","King","City",15.7,10
"McKenna Elementary","Pierce","Town",18,188
"McKenny Elementary","Thurston","City",19.6,97
"Mckinley Elementary School","Yakima","City",18.8,416
"McKnight Middle School","King","City",23,390
"McLane Elementary School","Thurston","Suburb",17.9,81
"Mcloughlin Middle School","Franklin","Suburb",17.6,425
"Mcloughlin Middle School","Clark","City",19.2,645
"McMicken Heights Elementary","King","Suburb",17.7,350
"McMurray Middle School","King","Rural",18,55
"Mead Alternative High School","Spokane","Suburb",14.2,48
"Mead Education Partnership Prog","Spokane","Suburb",36.2,93
"Mead Elementary","King","Suburb",20.1,17
"Mead Open Doors","Spokane","Suburb",NA,4
"Mead PreSchool","Spokane","Suburb",NA,0
"Mead Senior High School","Spokane","Suburb",21.3,324
"Meadow Crest Early Childhood Education Center","King","City",NA,79
"Meadow Ridge Elementary","Spokane","Suburb",19.4,117
"Meadow Ridge Elementary School","King","City",16,386
"Meadowdale Elementary","Snohomish","Suburb",17.9,189
"Meadowdale High School","Snohomish","Suburb",23.3,469
"Meadowdale Middle School","Snohomish","Suburb",19.4,258
"Meadows Elementary","Thurston","Suburb",14.2,171
"Meany Middle School",NA,NA,NA,NA
"Medical Lake Alternative High School","Spokane","Town",28.5,20
"Medical Lake High School","Spokane","Town",20.5,128
"Medical Lake Middle School","Spokane","Town",19.7,108
"Medina Elementary School","King","Suburb",19.3,8
"Meeker","Pierce","City",21.3,166
"Meeker Elementary","Pierce","Suburb",20.5,123
"Meeker Middle School","King","Suburb",19.8,329
"Melvin G Syre Elementary","King","Suburb",19.9,68
"Mercer International Middle School","King","City",17.9,552
"Mercer Island High School","King","Suburb",20.2,50
"Meredith Hill Elementary School","King","City",16.4,160
"Meridian Elementary School","King","City",17,257
"Meridian High School","Whatcom","Rural",20.9,181
"Meridian Impact Re-Engagement",NA,NA,NA,NA
"Meridian Middle School","Whatcom","Rural",17.8,124
"Meridian Middle School","King","City",18.9,311
"Meridian Parent Partnership Program","Whatcom","Rural",31.8,18
"Meridian Park Elementary School","King","Suburb",19.7,127
"Meridian Special Programs","Whatcom","Rural",NA,0
"Meriwether Elementary School","Pierce","Rural",17.1,56
"Mesa Elem","Franklin","Rural",14.8,105
"Methow Valley Elementary","Okanogan","Rural",18,108
"Mica Peak High School","Spokane","City",5.2,35
"Michael Anderson Elementary","Spokane","Suburb",15.4,51
"Michael T Simmons Elementary","Thurston","City",17.4,230
"Mid-Columbia Parent Partnership","Benton","City",42.9,64
"Middle College High School","King","City",12.2,34
"Middle School Options","Kitsap","Rural",NA,3
"Midland Elementary","Pierce","Suburb",17.8,436
"Midway Elementary","King","Suburb",18.8,477
"Midway Elementary","Spokane","Suburb",22,67
"Midway Elementary","Grant","Town",15.1,267
"Mill A Elementary School","Skamania","Rural",8.5,12
"Mill Creek Elementary","Snohomish","Suburb",20.1,69
"Mill Creek Middle School","King","City",19.5,560
"Mill Plain Elementary School","Clark","City",15.3,272
"Mill Pond Elementary School","Thurston","Town",20.4,188
"Millennium Elementary School","King","City",18.9,361
"Miller Junior High","Grays Harbor","Town",18.7,276
"Millwood Kindergarten Center","Spokane","Suburb",26.5,29
"Minnehaha Elementary School","Clark","City",17.1,266
"Mint Valley Elementary","Cowlitz","City",14.2,285
"Minter Creek Elementary","Pierce","Suburb",15.8,110
"Mirror Lake Elementary School","King","Suburb",16.1,272
"Mission View Elementary School","Chelan","Suburb",15.3,406
"Monroe Elementary","Snohomish","City",19.6,197
"Monroe High School","Snohomish","Suburb",22.6,337
"Monroe Special Ed Preschool","Snohomish","Suburb",NA,3
"Monte Cristo Elementary","Snohomish","Rural",15.7,128
"Montesano Jr-Sr High","Grays Harbor","Town",20.9,196
"Monticello Middle School","Cowlitz","City",20.1,314
"Montlake Elementary School","King","City",17.1,9
"Monument Elementary","Grant","Town",17.1,478
"Moorlands Elementary","King","Suburb",19.8,45
"Moran Prairie Elementary","Spokane","Suburb",18.4,77
"Morgan Center School","Kitsap","City",NA,0
"Morgan Middle School","Kittitas","Town",19.5,229
"Morgen Owings Elementary School","Chelan","Town",15.5,355
"Morris Ford Middle School","Pierce","Suburb",19.1,735
"Morris Schott Elementary","Grant","Rural",18.9,206
"Morton Elementary School","Lewis","Rural",19.5,93
"Morton Junior-Senior High","Lewis","Rural",16.1,87
"Mosaic Home Education Partnership","Kitsap","Suburb",43.3,6
"Moses Lake High School","Grant","Town",24.2,1099
"Mossyrock Academy","Lewis","Rural",15.8,6
"Mossyrock Elementary School","Lewis","Rural",16.3,180
"Mossyrock Jr./Sr. High School","Lewis","Rural",15.2,104
"Mount Adams Middle School","Yakima","Rural",NA,100
"Mount Baker Academy","Whatcom","Rural",14.4,7
"Mount Baker Junior High","Whatcom","Rural",19.2,120
"Mount Baker Middle School","Skagit","City",17.3,366
"Mount Baker Senior High","Whatcom","Rural",18.6,226
"Mount Erie Elementary","Skagit","Town",22.5,121
"Mount Pleasant School","Skamania","Rural",11.1,8
"Mount Rainier High School","King","Suburb",21.8,719
"Mount Si High School","King","Town",22.1,178
"Mount Vernon High School","Skagit","City",20.1,1039
"Mount Vernon Open Doors",NA,NA,NA,NA
"Mount Vernon Special Ed","Skagit","City",129,67
"Mount View Elementary","King","Suburb",16.6,470
"Mountain Meadow Elementary","Pierce","Suburb",20.3,122
"Mountain View Elementary","Mason","Town",18,401
"Mountain View Elementary","Thurston","Suburb",16.3,322
"Mountain View Elementary","Grant","Rural",18,323
"Mountain View High School","Clark","City",21.4,624
"Mountain View Middle School","Kitsap","City",18.6,491
"Mountain View Middle School","Pierce","Suburb",19.8,167
"Mountain Way Elementary","Snohomish","Town",19.8,217
"Mountainside Middle School","Spokane","Suburb",21.8,224
"Mountainview Elementary","Yakima","Rural",13.8,94
"Mountlake Terrace Elementary","Snohomish","Suburb",16.3,176
"Mountlake Terrace High School","Snohomish","Suburb",21.7,322
"Moxee Elementary","Yakima","Rural",17.7,240
"Mt Baker Middle School","King","City",20.1,376
"Mt Spokane High School","Spokane","Rural",21.1,385
"Mt Tahoma","Pierce","City",21.4,959
"Mt View Elementary","Pierce","Suburb",20.9,89
"Mt. Pilchuck Elementary School","Snohomish","Suburb",19.9,190
"Mt. Rainier Parent Partnership","Pierce","Town",32,16
"Mt. Solo Middle School","Cowlitz","City",20.5,204
"Mt. Stuart Elementary","Kittitas","Town",18.8,235
"Muir Elementary","King","Suburb",17,123
"Mukilteo Elementary","Snohomish","Suburb",20.6,98
"Mukilteo Reengagement Academy Open Doors",NA,NA,NA,NA
"Mullan Road Elementary","Spokane","Suburb",18.9,138
"Mullenix Ridge Elementary School","Kitsap","Suburb",20.5,107
"N Omak Elementary","Okanogan","Town",15.1,279
"Naches Trail Elementary","Pierce","Suburb",17.8,177
"Naches Valley Elementary School",NA,NA,NA,NA
"Naches Valley High School","Yakima","Rural",21.9,145
"Naches Valley Middle School","Yakima","Suburb",16.4,148
"Napavine Elementary","Lewis","Town",16.7,186
"Napavine Jr Sr High School","Lewis","Rural",18.3,122
"Narrows View Intermediate","Pierce","Suburb",19,225
"Naselle Elementary","Pacific","Rural",18.2,70
"Naselle Homelink","Pacific","Rural",46,7
"Naselle Jr Sr High Schools","Pacific","Rural",26,60
"Naselle Youth Camp School","Pacific","Rural",14,54
"Nathan Hale High School","King","City",19.4,283
"Nautilus K-8 School","King","Suburb",17.6,245
"Naval Avenue Elementary School","Kitsap","City",13.5,215
"Neah Bay Elementary School","Clallam","Rural",12.8,113
"Neah Bay Junior/ Senior High School","Clallam","Rural",11.9,105
"Neely O Brien Elementary School","King","City",18.4,435
"Nelsen Middle School","King","City",20.7,477
"Nelson Elementary School","Pierce","Rural",16.9,161
"Nespelem Elementary","Okanogan","Rural",13.6,119
"Ness Elementary","Spokane","City",16.9,216
"New Beginnings","Pierce","Town",NA,NA
"New Horizons High School","Franklin","Suburb",18,153
"New Market High School","Thurston","City",54,19
"New Market Skills Center","Thurston","City",0.1,NA
"New Start","King","Suburb",10.9,101
"Newcastle Elementary School","King","Suburb",18.6,26
"NEWESD 101 Open Doors",NA,NA,NA,NA
"Newport Heights Elementary","King","City",18.3,96
"Newport High School","Pend Oreille","Town",20.7,149
"Newport Senior High School","King","City",21.4,161
"Nine Mile Falls Elementary","Spokane","Rural",17.4,21
"Nisqually Middle School","Thurston","Suburb",19.5,344
"Nob Hill Elementary School","Yakima","City",19.9,324
"Nooksack Elementary","Whatcom","Rural",16.6,150
"Nooksack Valley High School","Whatcom","Rural",18.6,184
"Nooksack Valley Middle School","Whatcom","Town",18.1,135
"Nooksack Valley Special Services","Whatcom","Rural",330,11
"North Beach Elementary School","King","City",16.7,18
"North Beach Junior High School","Grays Harbor","Rural",14.5,56
"North Beach Senior High School","Grays Harbor","Rural",17.9,108
"North Bend Elementary School","King","Town",19.8,85
"North Central High School","Spokane","City",19.4,598
"North Creek High School",NA,NA,NA,NA
"North Elementary","Grant","Town",17,234
"North Franklin Virtual Academy","Franklin","Rural",30,3
"North Hill Elementary","King","Suburb",19.1,250
"North Kitsap High School","Kitsap","Suburb",22.2,171
"North Lake Middle School","Snohomish","Suburb",21.6,131
"North Mason Homelink Program","Mason","Rural",26.2,6
"North Mason Senior High School","Mason","Rural",19.6,269
"North Middle School","Snohomish","City",20.1,400
"North Pines Middle School","Spokane","City",16.3,296
"North River School","Pacific","Rural",6.8,30
"North Star Elementary","Pierce","Suburb",16,152
"North Tapps Middle School","Pierce","Suburb",21.6,47
"North Thurston High School","Thurston","Suburb",21.9,443
"North Whidbey Middle School","Island","Town",18.4,174
"Northeast Tacoma","Pierce","City",16.8,160
"Northern Heights Elementary Schl","Whatcom","City",17.1,111
"Northgate Elementary School","King","City",12.8,125
"Northlake Elementary School","Cowlitz","City",15.2,262
"Northport Elementary School","Stevens","Rural",13.4,68
"Northport High School","Stevens","Rural",9,29
"Northport Homelink Program","Stevens","Rural",NA,24
"Northshore Middle School","King","Suburb",20.2,81
"Northshore Networks","Snohomish","Suburb",22.4,13
"Northshore Online School","Snohomish","Suburb",NA,4
"Northshore Special Services","Snohomish","Suburb",NA,0
"Northstar Middle School","King","Suburb",20.5,3
"Northwest Career & Technical Academy","Skagit","City",NA,0
"Northwest Career and Technical High School","Pierce","City",NA,0
"Northwood Elementary","Pierce","Suburb",19.5,105
"Northwood Elementary School",NA,NA,NA,NA
"Northwood Middle School","Spokane","Suburb",18.7,161
"Northwood Middle School","King","Suburb",20.6,143
"Nova High School","King","City",20.7,59
"NW Allprep","Clark","City",93.8,137
"NW Learning Center","Snohomish","Suburb",NA,NA
"Oak Grove","Pierce","City",9.7,3
"Oak Harbor Elementary","Island","Town",17.9,180
"Oak Harbor High School","Island","Town",19,426
"Oak Harbor Intermediate School","Island","Town",20.5,155
"Oak Heights Elementary","Snohomish","Suburb",19.7,203
"Oakbrook Elementary School","Pierce","City",16.2,161
"Oakesdale Elementary School","Whitman","Rural",12.9,14
"Oakesdale High School","Whitman","Rural",7.1,9
"Oakland Bay Junior High School","Mason","Town",16.7,344
"Oakland High School","Pierce","City",17.1,173
"Oakridge Group Home","Pierce","City",NA,NA
"Oakview Elementary School","Lewis","Town",19.9,318
"Oakville Elementary","Grays Harbor","Rural",13.4,55
"Oakville High School","Grays Harbor","Rural",11.4,45
"OASIS K-12","San Juan","Rural",32.8,46
"OCEAN","Jefferson","Town",28,22
"Ocean Beach Alternative School",NA,NA,NA,NA
"Ocean Beach Early Childhood Center","Pacific","Rural",NA,6
"Ocean Park Elementary","Pacific","Town",18.3,104
"Ocean Shores Elementary","Grays Harbor","Town",17.4,167
"Ocosta Elementary School","Grays Harbor","Rural",14.1,249
"Ocosta Junior - Senior High","Grays Harbor","Rural",17.4,192
"Odessa High School","Lincoln","Rural",11.7,36
"Odle Middle School","King","City",18.4,174
"Odyssey Elementary","Snohomish","Suburb",20.4,318
"Odyssey Multiage Program","Kitsap","Suburb",17.3,5
"Okanogan Alternative High School","Okanogan","Town",14,10
"Okanogan Co Juvenile Detention","Okanogan","Town",9,5
"Okanogan High School","Okanogan","Town",18.5,98
"Okanogan Middle School","Okanogan","Town",18.8,111
"Okanogan Outreach Alternative School","Okanogan","Town",67,35
"Olalla Elementary School","Kitsap","Rural",18.6,125
"Olivia Park Elementary","Snohomish","Suburb",19.6,405
"Olympia High School","Thurston","City",22.9,294
"Olympia Regional Learning Academy","Thurston","City",38.8,101
"Olympia Regional Learning Academy - Montessori School","Thurston","City",26.7,20
"Olympic Elementary","Lewis","Town",18.2,190
"Olympic Elementary School","Cowlitz","City",16.4,291
"Olympic High School","Kitsap","Suburb",22,345
"Olympic Hills Elementary School","King","City",13.7,149
"Olympic Middle School","Mason","Town",16.6,348
"Olympic Middle School","King","City",18.5,474
"Olympic View Elem","Island","Town",17,190
"Olympic View Elementary","Thurston","Suburb",19.9,157
"Olympic View Elementary School","King","City",18.2,113
"Olympic View Elementary School","King","Suburb",15.4,287
"Olympic View Middle School","Snohomish","Suburb",20.7,347
"Omak High School","Okanogan","Town",17.9,204
"Omak Middle School","Okanogan","Town",14.3,171
"On Track Academy","Spokane","City",17.4,178
"Onalaska Elementary School","Lewis","Rural",16.6,187
"Onalaska High School","Lewis","Rural",16.1,103
"Onalaska Middle School","Lewis","Rural",16.7,81
"Onion Creek Elementary","Stevens","Rural",11.6,31
"Open Den","Island","Rural",NA,0
"Open Door Youth Reengagement Renton","King","City",NA,89
"Open Doors Re-Engagement Wenatchee","Chelan","City",NA,42
"Open Doors - Youth Reengagement Program",NA,NA,NA,NA
"Open Doors at LWIT","King","Suburb",NA,0
"Open Doors Battle Ground","Clark","Rural",NA,NA
"Open Doors Evergreen",NA,NA,NA,NA
"Open Doors Puyallup","Pierce","Suburb",32.2,23
"Open Doors Reengagement Program","Jefferson","Rural",NA,7
"Open Doors Vancouver","Clark","City",NA,NA
"Open Doors Youth Re-Engagement Spokane","Spokane","City",NA,70
"Open Doors Youth Reengagement (1418)","King","Suburb",86.4,122
"Open Doors Youth Reengagement Sultan","Snohomish","Town",NA,NA
"Opportunity Elementary","Spokane","City",14.2,264
"Opportunity Youth Reengagement",NA,NA,NA,NA
"Options High School","Whatcom","City",17,64
"Orca K-8 School","King","City",16.6,86
"Orcas Island Elementary School","San Juan","Rural",15.9,80
"Orcas Island High School","San Juan","Rural",10.5,30
"Orcas Island Middle School","San Juan","Rural",15.1,19
"Orchard Center Elementary","Spokane","City",14.7,167
"Orchard Elementary","Benton","City",19.8,76
"Orchard Heights Elementary","Kitsap","Suburb",18,315
"Orchard Middle School","Chelan","City",14.5,275
"Orchard Prairie Elementary","Spokane","Rural",13.1,13
"Orchards Elementary School","Clark","Suburb",15,377
"Ordway Elementary","Kitsap","Suburb",16.5,41
"Orient Elem","Ferry","Rural",9.4,19
"Orondo Elementary and Middle School","Douglas","Rural",14.6,138
"Oroville Elementary","Okanogan","Rural",14.8,201
"Oroville Middle-High School","Okanogan","Rural",14.5,145
"Orting High School","Pierce","Suburb",23.6,226
"Orting Middle School","Pierce","Suburb",20.4,164
"Orting Primary School","Pierce","Suburb",19.8,144
"Orting Special Education","Pierce","Suburb",NA,3
"Osborn Elementary","Chelan","Town",16.1,93
"Othello High School","Adams","Town",19.2,653
"Other Schools","Snohomish","City",NA,0
"Otis Orchards School","Spokane","Suburb",16.6,208
"Out Of District Facility","King","City",NA,9
"Out Of District Special Ed","Snohomish","Suburb",NA,3
"Outcomes for Academic Resilience",NA,NA,NA,NA
"Outlook Elementary School","Yakima","Rural",19.5,587
"P C Jantz Elementary","Lincoln","Rural",14.2,56
"Pace Alternative High School","Yakima","Town",12.6,62
"Pacific Beach Elementary School","Grays Harbor","Rural",18.4,104
"Pacific Cascade Middle School","King","Rural",23.2,69
"Pacific County Jail","Pacific","Town",NA,0
"Pacific Crest Innovation Academy",NA,NA,NA,NA
"Pacific Middle School","King","Suburb",19.1,357
"Pacific Middle School","Clark","Suburb",18.9,319
"Paideia High School","Stevens","Rural",7.6,20
"Pal Program","Kitsap","Rural",23.8,13
"Palisades Elementary School","Douglas","Rural",10.7,25
"Palouse at Garfield Middle School","Whitman","Rural",NA,8
"Palouse Elementary","Whitman","Rural",14.2,23
"Palouse High School","Whitman","Rural",6.8,16
"Palouse Junction High School","Franklin","Town",20,27
"Panorama School","Stevens","Town",44,47
"Panther Lake Elementary School","King","Suburb",18.3,275
"Panther Lake Elementary School","King","City",18.9,392
"Papermaker Preschool","Clark","Suburb",NA,11
"PARADE","King","Suburb",25.9,6
"Parent Community Connection",NA,NA,NA,NA
"Parent Partnerhip","Snohomish","Suburb",44.5,20
"Parents As Partners","Clallam","Town",22,8
"Park Lodge Elementary School","Pierce","City",16,375
"Park Middle School","Benton","City",18.7,733
"Park Orchard Elementary School","King","City",15.6,374
"Park Orchard Elementary School","Grant","Town",18.9,234
"Park Place Middle School","Snohomish","Suburb",19.4,234
"Parke Creek Treatment Ctr","Kittitas","Rural",13,4
"Parkside Elementary","King","Suburb",20.7,351
"Parkside Elementary","Thurston","Rural",16.9,126
"Parkview Elementary School","Whatcom","City",17.6,102
"Parkway Elementary","Asotin","Suburb",17.9,189
"Parkway School","Grant","Town",19.5,139
"Parkwood Elementary","King","Suburb",18.1,132
"Pasadena Park Elementary","Spokane","Suburb",18.1,105
"Pasco Early Childhood","Franklin","Suburb",NA,26
"Pasco Early Learning Center",NA,NA,NA,NA
"Pasco Senior High School","Franklin","Suburb",18.5,1171
"Pass Program","Snohomish","City",NA,0
"Pateros Elementary","Okanogan","Rural",16.9,76
"Pateros High School","Okanogan","Rural",11.8,73
"Paterson Elementary School","Benton","Rural",14.7,100
"Pathfinder K-8 School","King","City",15.9,66
"Pathfinder Kindergarten Center",NA,NA,NA,NA
"Paul Rumburg Elementary","Chelan","Rural",15.4,95
"Pe Ell School","Lewis","Rural",13.6,136
"PEARL","Jefferson","Rural",15.8,0
"Pearl Street Center","Pierce","City",11,0
"Pend Oreille River School","Pend Oreille","Town",15,12
"Peninsula Elementary","Grant","Town",18.3,243
"Peninsula High School","Pierce","Suburb",24.2,330
"Penny Creek Elementary","Snohomish","Suburb",20.6,140
"Perry G Keithley Middle School","Pierce","Suburb",16.7,600
"Peshastin Dryden Elementary","Chelan","Rural",16.5,106
"Peter G Schmidt Elementary","Thurston","City",17.4,235
"Peter S Ogden Elementary","Clark","City",17.1,329
"Phantom Lake Elementary","King","City",14,99
"Phil Snowdon Elementary","Spokane","Rural",18.1,181
